[2026-03-17 14:50:56.382] [INFO   ] Credit account 750250250 with 1234803097 bytes 
[2026-03-17 14:50:56.412] [INFO   ] testStartSeconds:2025-07-17T13:50:56.001Z 
[2026-03-17 14:50:56.412] [INFO   ] testStartSeconds:2025-07-17T13:50:56.001Z 
[2026-03-17 14:50:56.412] [INFO   ] testStartSeconds:2025-07-17T13:50:56.001Z 
[2026-03-17 14:50:56.412] [INFO   ] testEndSeconds:2027-07-18T00:50:56.001Z 
[2026-03-17 14:50:56.413] [INFO   ] testEndSeconds:2027-07-18T00:50:56.001Z 
[2026-03-17 14:50:56.413] [INFO   ] testEndSeconds:2027-07-18T00:50:56.001Z 
[2026-03-17 14:50:57.225] [INFO   ] onlineChargingData(750250250, INITIAL_REQUEST, POSTMAN_MOC_xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx, 1, 0, 0, 2025-07-17T13:50:56.001Z, N7) 
[2026-03-17 14:50:57.225] [INFO   ] onlineChargingData(750250250, INITIAL_REQUEST, POSTMAN_MOC_xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx, 1, 0, 0, 2025-07-17T13:50:56.001Z, SERVICE3) 
[2026-03-17 14:50:57.225] [INFO   ] onlineChargingData(750250250, INITIAL_REQUEST, POSTMAN_MOC_xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx, 1, 0, 0, 2025-07-17T13:50:56.001Z, SERVICE2) 
[2026-03-17 14:50:57.228] [INFO   ] Http response with code: 201 Message {grantedUnit=104857600, resultCode=201} 
[2026-03-17 14:50:57.227] [INFO   ] Http response with code: 201 Message {grantedUnit=104857600, resultCode=201} 
[2026-03-17 14:50:57.228] [INFO   ] Http response with code: 201 Message {grantedUnit=104857600, resultCode=201} 
[2026-03-17 14:50:57.242] [INFO   ] LDAP Consumido = {0} Quota total = {1234803097} 
[2026-03-17 14:50:57.242] [INFO   ] AvailableQuota: 1234803097 
[2026-03-17 14:50:57.246] [INFO   ] AvailableQuota(1234803097) < minimum availableQuota(1273785090) 
[2026-03-17 14:50:57.246] [INFO   ] Reactive Top-up! 
[2026-03-17 14:50:57.256] [INFO   ] LDAP Consumido = {0} Quota total = {1234803097} 
[2026-03-17 14:50:57.256] [INFO   ] LDAP Consumido = {0} Quota total = {1234803097} 
[2026-03-17 14:50:57.258] [INFO   ] AvailableQuota: 1234803097 
